Entity,superregion2,iso3,Fruits,Non-starchy vegetables,starchy vegetables,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Eggs,Total Dairy,Sugar-sweetened beverages,Fruit juices,BMI,Diabetes prevalence (% of population ages 20 to 79)
Afghanistan,SAARC,AFG,65.69703615,98.08012358,66.08794856,223.1689052,41.52892374,2.238317047,8.686127459,8.141982785,45.20794871,88.6900862,3.953438972,23.4,10.9
Albania,FSU,ALB,138.8743604,308.8370045,258.8153261,252.8140176,31.2137724,73.43706788,67.94653918,87.37300062,213.9608481,925.5667419,25.73225186,26.7,10.2
Algeria,MENA,DZA,79.52962848,129.0837569,140.8284691,429.5534706,26.65430424,9.678610718,38.71746523,34.14004259,101.035584,228.6002877,22.6832442,25.5,7.1
Angola,SSA,AGO,119.7469802,123.2847466,399.0395907,223.8385038,57.59240311,1.834424198,17.95686127,0.77033938,213.2879754,212.2634035,17.04172057,23.3,4.6
Antigua and Barbuda,LAC,ATG,95.49188023,123.8032761,86.29882868,158.4371783,14.31763861,40.50034774,31.85380687,18.64594907,302.5317254,363.237079,20.49271658,26.7,11.7
Argentina,LAC,ARG,93.99578731,95.93209657,58.34687717,174.3276946,10.81313739,24.18177638,87.92704649,30.11471027,186.2696687,203.030144,11.00135065,27.7,5.4
Armenia,FSU,ARM,91.23436362,232.0986639,143.8754117,219.7824403,23.30186123,105.8830319,65.19554157,39.85143751,132.2133779,66.83861667,26.15225509,26.3,5.6
Australia,HIC,AUS,131.9189991,116.7912227,106.2665031,100.587985,64.89062927,16.16070915,57.88159155,24.20385129,213.4516643,112.7597171,49.61368585,27.1,6.4
Austria,HIC,AUT,105.7322006,118.4419156,97.60356174,22.89394898,29.16800285,56.31431939,104.970007,24.13378047,152.8694541,101.0571777,25.74225621,25.6,4.6
Azerbaijan,FSU,AZE,104.8183883,77.6902062,147.3317688,300.7824917,46.88774313,100.0912785,95.91943797,39.93572826,25.42236762,52.26076023,33.2416262,27.1,5.6
Bahamas,LAC,BHS,83.68496714,186.8061262,65.70976284,211.4143602,36.72358469,20.26615218,49.40377352,52.91946543,382.4200458,210.0037136,23.06259023,28,8.8
Bahrain,MENA,BHR,119.8135589,113.1524827,95.05536236,451.5770891,15.95311831,25.72371873,39.85709954,31.2104704,185.5482648,226.5203686,25.3723854,24.8,11.3
Bangladesh,SAARC,BGD,54.74778811,99.07479937,109.155208,593.2294134,35.28574307,0.39718467,7.987113196,10.9709558,679.5519054,9.782099997,3.446337119,21.7,14.2
Barbados,LAC,BRB,129.4916455,27.04336905,89.92355068,238.6064629,89.93886538,12.40977116,65.89311751,70.88654979,63.47870148,579.3302188,4.659960364,27.8,14
Belarus,FSU,BLR,246.3387114,224.99979,212.4679723,192.4340514,35.74007629,39.47283412,73.52871252,35.92938099,161.1730448,47.77740428,31.55351642,26.6,5.6
Belgium,HIC,BEL,103.9274464,399.2241632,158.1541881,56.32278294,66.08904514,28.25169318,57.4788037,9.55460738,33.67577959,193.4650302,64.69983519,26.1,3.6
Belize,LAC,BLZ,85.61413872,185.1698654,89.07519019,245.0544485,27.63166055,56.43535089,102.4890632,30.15662743,106.8826557,410.2489678,24.40977202,29.1,14.5
Benin,SSA,BEN,74.77897098,105.5524857,33.44572865,189.3719711,33.57259023,25.92744936,17.47016657,9.305542939,30.57668066,171.011885,12.39593306,23.5,1.1
Bhutan,SAARC,BTN,97.84540687,443.6015005,110.510487,689.2820734,45.42000542,1.803069831,19.32828195,14.31154706,106.9377692,105.6370521,3.876500927,23.9,10.4
Bolivia,LAC,BOL,86.59089005,87.03303724,126.005461,226.7836182,29.36432292,16.45737988,96.3053378,21.30786002,201.0615158,347.7059971,23.96932881,26.6,5.5
Bosnia and Herzegovina,FSU,BIH,499.8946403,148.3001302,212.7216886,148.349133,45.66116944,27.75818366,155.1837891,23.40071468,243.0584382,74.02794512,23.80845199,25.8,9.1
Botswana,SSA,BWA,50.92125987,112.1369069,70.89172919,136.1824989,71.24098495,10.82293949,28.30319851,9.894705652,20.76125361,417.0085764,24.22568552,24.3,5.2
